Title,Start year,Epsiodes,Opening,Status,Main Character ,Score
Attack On Titan,2013,94,Shinzou Wo Sasageyo,Completed,Eren,9.1
Jujutsu Kaisen,2020,49,Kaikai Kitan,Ongoing ,Itadori ,8.5
Demon Slayer,2019,63,Gurenge,Ongoing ,Tanjiro,9
Jojo's Bizzare Adventure,2012,190,Crazy Bizzare Noise Town,Ongoing , Joestars,8.5
Chainsaw Man,2022,12,Kick Back,Ongoing ,Denji,8.3
One Piece,1999,1152,We Are,Ongoing ,Luffy,9.0
Your Lie In April,2014,22,Hikaru Nana,Completed,Kousei,8.5
Blue Lock,2022,24,Chaos ga Kiwamaru,Ongoing,Yoichi,8.1
Nana,2006,47,Rose,Hitaus,Nana O.,8.5
Ouran Highschool,2006,26,Sakura Kiss,Completed,Haruhi Fujioka,8.1
Hunter X Hunter,2011,148,Departure,Hitaus,Gon Freeces,9.0
Death Note,2006,37,The World,Completed,Light Yagami,8.9
Haikyuu,2014,60,Imagination,Completed,Hinata,8.7
Paradise Kiss,2005,12,Lonely In Gorgerous,Completed,Yukauri,7.8
Bleach,2004,366,Asterisk,Completed,Ichiigo,8.2
Naruto,2002,220,Blue Bird,Completed,Naruto,8.4
Cowboy Bebpop,1998,26,Tank,Completed,Spike,8.9
My Hero Academica,2016,160,The Day,Ongoing,Deku,8.2

Black Clover,2017,170,Harukai Mirari,Completed,Asta, 8.2

